Texto	Classificador
excelente	1
Produto ótimo, entrega rápida, muito bom!	1
Recebi 2 mensagens da loja, me dizendo que o pedido havia sido cancelado, porque o fornecedor não tinha entrado em contato!	0
Ótimo	1
Produto com prazo de entrega no dia 01/08/2018 e foi entregue no dia 26/07/2018.	1
recebi porem com defeito	2
Entrega rápida e produto em boas condições.	1
Comprei o produto confiando nas lojas lannister e não na targaryen a qual parece q não entregou o produto no tempo certo para os Correios, e não recebi esclarecimento da targaryen, mas o produto chegou, obg	0
Bom produto. Entregue antes do prazo. Parabéns	1
tudo ok	1
muito bom	1
produto entre como combinado e muito bem embalado	1
Entregue no prazo!	2
Enviaram o produto errado pra mim!	1
05/01/2018 00:00	1
Bom	1
BOM DIA, JÁ É A QUARTA VEZ QUE SOLICITO A DEVOLUÇÃO DO PRODUTO E ATÉ O MOMENTO NÃO TIVE RETORNO, POIS A MEDIDAS DA BOLSA NÃO SÃO AS MESMAS DECLARADAS NO ATO DA COMPRA.	0
O produto chegou bem antes do prazo,três dias após a confirmação do pagamento,veio bem embalado,bem protegido,o pote com as capsulas veio lacrado e também é bem seguro e firme,parabéns as lannister.	1
Entregue na data, produto de boa qualidade.	1
Mais respeito ao consumidor, era para presente!!	0
O produto não foi entregue pelos correios tendo que ser retirado... Pq os horários não batiam.	1
Ainda não usei, más parece muito bom, depois do uso, dou outra opinião!	1
PRODUTO MUITO AQUÉM DO DESEJADO.	0
Controle funciona muito bem na minha TV	1
A pelicula de protecao da tela veio quebrada ao meio	1
Recomendo .. entrega rápida	1
Recomendo o vendedor a todos.Classe A	1
ESTOU MUITO SATISFEITA COM OS PRODUTOS E ATENDIMENTO.	1
Nao recebi o produto	0
Boa a rede e chegou rápido	2
comprei 96 unidades (2x48), porém somente recebi 48 unidades (1 caixa de 48)	0
Recomendo a todos.	1
Entrega mais que rápida!	1
Sei que o problema ocorreu com a entrega, mas até agora não recebi nenhum posicionamento da empresa quanto a devolução.	0
Só demorou um pouco por conta do correio, mas foi tranquilo, recomendo!	1
entrega rápida e de boa qualidade	2
.........	1
Só tomei um susto pq veio em uma caixa diferente rsrs mas foi ótimo ver que estava tudo certo. O produto é ótimo, e eu amei!	1
Produto entregue fora do prazo mas chegou corretamente.	2
Produto excelente e prazo de entrega ótimo.	1
Loja correta produto chegou em perfeito estado.	1
Fiquei muito chateada pois deixei de comprar de outro vendedor e depois de muitos dias recebi um email informando que o produto não poderia ser entregue, comprar e não receber é muito chato.	0
Infelizmente ainda não foi entregue!	0
a até agora não recebi	0
Já e a segunda vez q compro e até agora não chegou o que comprei.	0
Produto de excelente qualidade, entregue antes do prazo.	1
Produto chegou além do prazo estipulado.	2
26/12/2017 22:57	1
Ainda não usei. .mas parece Sr muito boa e é muito bonita.	1
Muito bonita super recomendo	1
Entrega feita perfeitamente. Recomendo !	1
Não sou de comprar de terceiros não, em sites como esse. Uma vez tive problemas serios, mas como meu pai diz. '' Os bons não devem pagar pelos ruins. '' .	1
A loja atendeu bem, mas o produto comprado não é lá essas coisas!	1
Produto entregue no prazo mesmo com a crise na semana passada da greve dos caminhoneiros	1
Produto de qualidade, entregue antes do prazo.	1
adorei muito lindo o relogio e chegou antes do prazo.	1
Chegou antes do prazo previsto, cortina de ótima qualidade na minha opinião.	1
A mangueira é boa! Leve, e com opção de ajuste assim sendo ajuda na economia de água. Aprovada!	1
Capinha e muito boa, mas a película e horrível.	1
O produto chegou correto. O problema foi a demora na entrega.	0
Muito bom... vamos ver o finalmente deste produto.	1
EXCELENTE PREÇO	1
chegou antes do prazo., produto correto mto bom eu recomendo a loja...	1
Perfeito, entrega antes do prazo, recomendo.	1
COMPREI 2, APENAS 1 FOI ENTREGUE. ESTOU NO AGUARDO.	0
RECUSEI A ENTREGA DO PRODUTO PORQUE CHEGOU TODO QUEBRADO ESTOU NO AGUARDO DO RESSARCIMENTO DO VALOR.	0
Tenho duvidas da originalidade do produto.	0
Gostei	1
A realização da compra foi realizada com um prazo de entrega longo de 20 dias e a previsão de ATÉ 26/12, fato não ocorrido. O produto ainda não foi entregue! Não respeitaram o prazo. NÃO INDICO!!	0
Recebido antes do prazo estipulado.. obrigada	1
Recomendo com ressalvas. Não gostei do acabamento. Mas a cortinha é bonita, apesar de fina!	1
Produto apresenta clara baixa qualidade do produto.	0
Bem pequeno, de acordo com o espaço que eu tenho, extremamente cuidadosos com a embalagem, muito bem feito, detalhes feitos com todo capricho.	1
Adorei o produto, recomendo!!!	1
Adorei chegou antes do prazo a rede é grande cabe duas pessoas nela adorei a mercadoria	1
excelente	1
todas as vezes que comprei entregou ...agora que a transportadora era o correio nao entregou...devia ter antes da compra o nome da transportadora	2
Tive problemas com a entrega, não recebi o produto ainda.	0
O produto chegou no prazo e bem embalado. Senti falta de uma caixinha, mas tudo certo... não me ative isso na hora da compra... produto chegou intacto.	1
Na foto parece emborrachada, mas é neoprene. Mas nada que diminua a qualidade do produto. protege bem contra o vento, muito confortável e o material é de qualidade. Recomendo	1
Produto excelente,veio como descrito e dentro do prazo	1
Recomendo!!!	1
Produto ótimo conforme a descrição. Super recomendo o produto	1
Meu gatinho adorou, pode ser cama ou toca, é macia e bonita!	1
Kit bolsa muito bonita e ótimo material, a targaryen eu recomendo, sempre entregou os produtos bem embalados e na metade do tempo previsto.	1
boa compra e material!	1
De acordo com o solicitado , atendeu tds as minhas espectativas .	1
Produto entregue dentro do prazo e perfeitas condições	1
O produto chegou antes do prazo.	1
Parabens pela qualidade e o otimo atendimento	1
Correspondeu a minha expectativa, embalagem, bilhetinho escrito à mão carinhosamente. Perfeito 😉	1
Produto chegou mais rápido que o esperado e de ótima qualidade.	1
O produto não tem boa qualidade as tampas não fecham totalmente e ele não se encaixa totalmente no painel do carro .	0
Belezinha	1
Estou a espera do produto! Está em atraso	0
Até agora não recebi a comunicação da reclamação que eu fiz sobre o não funcionamento do aparelho que está com defeito.	0
otimo	1
Gostei do atendimento e também da rapidez da entrega,tambem gostei das mercadorias.muito obrigada	1
Amei o produto, entrega super rápida!	1
O produto chegou antes da previsão de entrega.	1
ACHO QUE A DEMORA FOI A GREVE DOS CORREIOS	1
estou livre dos pernilongos. amei	1
Parabéns cumprir com o combinado	1
produto lindo,bem grande e otimo tecido entrega muito rapida estou muito satisfeita	1
Nenhum chip cabe, nem com adaptador!Estou buscando solução mais prática.Caso não consiga, terei que trocar o produto.Recebi dia 17/8.	2
muito bom!	1
Deveria ficar claro pra quem for comprar	0
parabens pela atençao e eficiencia	1
Produto de qualidade.	1
Gostei .	1
Recebi o produto, mas com a cor incorreta da q pedi na hora da compra. Comprei cinza, recebi azul marinho.	0
No quesito entrega vocês estão de parabéns. Chegou muito antes do previsto. Pena que o tablet trava muito e o sistema usa muito do espaço interno que já não é lá essas coisas.	0
Prazo de entrega ultrapassado e nada do produto ou qualquer e-mail a respeito falando sobre o atraso e sua razão.	0
O produto anunciado é um e o produto entregue é outro e de baixissima qualidade. Inadimissivel esse tipo de atitude que fere o codigo de defesa do consumidor, entregar produto diferente do anunciado	0
Produto entregue no prazo e bem embalado.	1
amei o site super de confiança	1
"O Varão vem em 4 partes, mas quando se encaixam ficam com folga, ai quanto pendura a cortina ele fica torto com uma ""barriga"" entre um Gancho de fixação e outro!!"	0
Muito bom	1
Muito bom	2
Tive que comprar um cabo que não veio com o adaptador,adaptador incompleto para o uso.	0
Chegou antes do prazo previsto. Estou muito satisfeita.	1
A colcha é bonita, o tecido é fino, fácil de secar. o acabamento das almofadas menores não é legal, porque ficam apertadas.	0
o produto comprado foi cabo HDMI e veio VGA. Preciso trocar.	0
O produto chegou antes do prazo estabelecido e exatamente como foi descrito.	1
Nossa muito linda só que eu pedi nossa senhora Aparecida e veio de Fátima,mais muito linda amei.	1
desejo o ressarcimento do valor pago e não quero o produto.... me enviaram um produto totalmente diferente do solicitado além da cor ser cinza e não preto o modelo veio para um carro diferente do meu	0
Compreendo que estávamos em	0
Recebi no prazo combinado só achei muito pequeno	1
SÓ tenho a agradecer a entregua correta e até antes do prazo.	1
Super recomendo!	1
demora na entrega	0
Produto entregue no prazo e conforme a descrição	1
A capa flexível é excelente, mas a película de vidro não é apropriada para o Zenfone 3 Zoom pois as bordas não cola, então ficou descolado e por então acho que vc vai proteger.	1
Recebi o produto no tempo previsto.	1
Gostei do atendimento	1
Gostei muito da minha cortina bem delicada e linda. Chegou antes do prazo	1
otima	1
Não recebi o produto e estou esperando a devolução do meu dinheiro.	0
na hota da ocmpra estava escrito que era 30 caixas por 9,90 e só veio 1 e ainda me cobra o frete do dobro do produto quero devolver.	0
Tudo perfeito.	1
Produto e entrega conforme combinado.	1
O produto veio com defeito, o toner está manchando demais os papeis, até parece que está no final da impressão.	0
Recebi com a caixa já rasgada, mas estava tudo certo, obrigado!	1
Chegou em tempo	1
Boa tarde!	0
muito feia!	1
Rápido , fácil e ágil	1
nota mil pelo atendimento	1
O produto veio com sinais de ferrugem, a bateria não carrega, não há gravação. Solicito a devolução do produto, e o pagamento devolvido.	0
Espero obter uma resposta para minha encomenda. Comprei 3 controles remotos para ar condicionado e apenas recebi 1 controle Komeco e dos 2 controles Elgin pedidos e pago só foi entregue 1 controle Elg	0
Produto entregue no prazo, nada que desabone.	1
Não cumpriram o prazo de entrega,ainda não recebi o produto	0
Relógio muito bom.	1
serviço excelente. Entrega antes do prazo.	1
produto razoável	2
Entregue no prazo	1
Produto bom e entregue super rápido...	1
e MUITO BM CMPRAR PELA EFICIENCIA	1
Comprei 2 pneus, e a empresa despachou apenas 1 para o correio. Acionei o Procon da minha cidade para conseguir o outro. Até então, parece que a empresa vai resolver meu problema.	0
Veio antes do prazo	1
Recomendo a loja chegou antes do prazo	1
Valeu a pena a compra. Fica muito bonito na cama	1
Uma lanterna bem diferente para uso geral.	1
gosto de comprar nesta loja	1
Entrega no prazo. Produto adquirido. Perfeito estado. Muito bom!	1
Satisfeita	1
Produto entregue no prazo. Super recomendo	1
Recebi certinho ótimo site	1
"Achei o produto muito pequeno e onde fica a ""tela "" com os botões do microondas sai com facilidade. Não tem um bom encaixe..."	0
Produto muito bom	1
Muito bom chegou até ates do que eu esperava	1
O PRODUTO AINDA NÃO FOI ENTREGUE NO PRAZO. O QUE EU FAÇO???	0
Tudo correto.	1
Otimo	1
Veio como combinado, gostei muito, fui testar e fiquei docinho RS. Em breve vou acostumar a fazer algodões e ficarei craque!	1
Excelente	1
Ótimo produto mais o manual deveria vir em português tb.	1
O TAPETE É MUITO BONITO E CHEGOU ANTES DO PRAZO. RECOMENDO	1
Apesar do prazo para entrega em 12 dias úteis, o produto foi entregue em 01 dia útil	1
Meu produto estar atrasado já a uma semana	2
Muito bom.cabelo fica lisinho	1
Muito bom produto minha mae adorou estão de parabéns tudo no prazo certinho	1
Preciso devolver, produto veio errado	2
amamos o filtro. indico pra quem busca saúde.	1
Recomendo	1
Apenas uma reclamação, paguei o frete para receber na minha residência, e o produto foi entregue nos correios, agora quem vai me ressarcir com o valor que gastei para ir até o correio??????	0
meu pedido foi entregue muito bom	2
Estou muito satisfeita com a compra.Produto entregue antes do prazo.	1
CONFORME O ANUNCIO, RECOMENDO	1
O produto chegou antes do prazo previsto recomendado, muito confiável.	1
Muito bom o produto.	1
Depois de um longo e árduo tempo, o produto foi entregue. Acho que ele veio de carroça.	0
Quero meu dinheiro de volta	0
Chegou rápido e é mais linda do que na foto! Amei as 3 luminárias	1
"sempre recebo produtos comprados no baratheon muito antes do prazo final, mas este foi ""em cima da hora"" não sei se por causa alheia da loja."	1
entrega perfeita chegou bem antes do prazo!!! e a chapinha é maravilhosa!! não tenho química no cabelo e meu cabelo é bem cacheado, mas ficou um liso perfeito!! nota 10	1
super recomendo	1
Só chegou uma central multimidia sendo que eu comprei 2	0
Parabéns pela pontualidade....Estou satisfeita com o produto.	1
Produto entregue antes da data prevista satisfazendo assim p cliente	1
A data limite para entrega do produto era 11 de abril. Já se passaram dois dias e a mercadoria não chegou. Quando receberei?	0
Na foto e de um jeito quando chega nda haver ruim	0
SATISFEITO COM O PRODUTO	1
Faltou mais coerência pois recebi um e-mail dizendo q chegaria dia 08/12	0
Comprei um relógio Casio.	1
Entrega na data prevista. Recomendo a loja.	1
Gostei	1
nao recebi meu pedido, e agora o que faço	0
ta otima	1
O produto enviado não condiz com o visto nas fotos da propaganda. É de péssima qualidade, não atende as expectativas e não serve para o fim que foi adquirido, além do atraso na entrega.Quero devolver	0
so tenho elogios	1
Satisfeita com o produto otima qualidade	1
Bom atendimento	2
competentes e ágil	1
Esta é a terceira vez que compro o produto. Só tenho elogios a fazer.	1
Recomendo.	1
Amanhã vou ligar no atendimento solicitando a devolução do meu dinheiro. Produto super frágil, minha mãe vou esticar pra por no colchão e rasgou.	0
Conforme fiz o registro no site das américas já, no mesmo dia que recebi,	0
nao gostei do produto, mas ele foi entregue	0
Facilidade para uso do app, facilidade de pagamento, produto chegou antes do prazo.	1
Recebi o produto em tempo recorde e da forma solicitada.	1
Entrega muito rápida antes do prazo	1
Muito boa	1
ja enviei mensagem e ate hoje não me responderam . so recebi parte do pedido	0
Tudo perfeito 👍🏻	1
Cadê a minha torneira?	0
Só que na descrição do produto, consta q vem com 3 baterias, mas veio só uma, o que aconteceu?	1
Entrega super rápida e produto aparentemente bom! Funcionando conforme descrição	1
Recebi hoje e ainda não montei as estantes, mas as caixas estão íntegras, com aparência de transporte cuidadoso. Recebi bem antes do prazo. Super recomendo a loja!	1
Tudo de bom.	1
Por enquanto não recomendo a loja, já que o produto ainda não chegou. Todos os outros que comprei no mesmo pedido já foram entregues, mas só o dessa loja ainda não recebi.	0
preciso que seja trocada a razão para: Cooperativa de laticínios Serramar. O restante esta correto, não adianta carta de correção	2
Ainda não recebi o produto. Comprei dia 22/1017. Quero meu produto ou o dinheiro de volta.	0
O produto é muito bonito e chegou super rápido.	1
O produto foi entregue dentro do prazo, e de acordo com a descrição do site.	1
Produto diferente da foto. Produto sem fecho e por isso não serve.	0
Produto chegou antes do prazo estimado, embalado por completo e totalmente seguro. Fácil de montar. Recomendo!	1
Produto de alta qualidade, perfeito.	1
Estou com meu pedido desde 15/02, ainda não recebi, gostaria de providências.	0
gostei, recomendo.	1
Produto entregue antes do prazo, bem embalado com muito cuidado, recomendo muito.	1
Entregaram antes do prazo	1
Produto chegou antes da data prevista.	1
Muito bom o produto e a entre!	1
Tive um problema com a empressa pois já tinha cancelado o produto e já tinham me enviado o email de cancelamento, mesmo assim foi cobrado no cartão de crédito e me foi enviado o produto. Fiquei então.	2
Boa noite, recebi os produtos antes da previsão dada, porém ainda não usei , como tenho comprado produtos na lannister .com , não tive problemas penso que estes que acabei de comprar seja igualmente	1
Bom produto	1
Tudo origginal	1
Entrega dentro do prazo.Mais a película fica descolando as laterais	2
Qualidade ótima, produto conforme a foto, lindo. Amei.	1
Produto bom, loja confiavel.	1
..	1
Produto chegou rápido	1
O meu produto chegou com avarias, solda crua sem pintura.	0
Muito lindo! Entrega rápida!	1
Qualidade garantida	1
Não gostei do matéria das cotinas,achei muito veias.	0
Nao me lembro apenas de ter selecionado o sabor , acho que por isso veio aleatorio , mas o produto chegou nos conformes ,tudo certinho ! Mto top recomendo o produto e a loja ?🏽👊🏽	1
Ótimo atendimento em todos os níveis: Rastreamento, passo a passo da compra desde a confirmação, logística de entrega pelo site da lannister e correio, entrega antes do prazo, logística perfeita.	1
É presente pro mor só saberei se veio correto qndo ele pegar comigo.mas a entrega foi péssima os Correios não entregou tive que ir buscar sempre compro site e tdos entregar certo mas por a targaryen nao	0
quando fiz a compra paguei o frete,tive que ir pegar nos correios falta de respeito na hora de vender vcs aceitam depois temos que ir buscar ,não compro mais e nem recomendo.	0
Vi pela internet que o produto é falso, dentro da capsula nao tem o pozinho vedadeiro, mega chateada .	0
boa loja	1
Produto chegou dentro do prazo, e de ótima qualidade!	1
Não me entregaram o produto...não me ligaram....não me deram nenhum número para que eu possa falar com algum representante ..tem uma criança ansiosa esperando pelo produto que não chega	0
como sempre,entregando	1
Apesar de estar dentro do prazo prometido, demorou quase 3 semanas para chegar. Prazo muito além do praticado no mercado.	0
O produto chegou muito antes do prometido. Superou as expectativas	1
Recomendo esta loja mais eles deveriam prestar mais atenção quando separam as peças para o envio pois veio a capa certa mais a pelicula de vidro errada	2
Espero mais de 3 meses para dizer não que tinha o produto!	0
Pelo que parece o produto foi extraviado pelos correios / carga roubada , e simplesmente não tenho nenhuma explicação ou retorno da empresa. Já tentei contato com as lannister e protocolo.	0
Funcional, mas poderia ser melhor. Veio faltando o botão de vedação do pegador, mas não comprometeu a beleza do produto.	1
Produto de qualidade muito baixa, muito fina o tecido, não tem nada a ver com ?FELPUDAS? na minha opinião se tivesse sendo vendida por 20,00 ainda seria caro, muito mal feitas!!!	0
Não me enviaram a cor na qual tinha solicitado.	0
Lindo o produto !! Recomendo à todos !!	1
Ter mais cuiado na hora de embala e com o transporte	1
muito eficiente ,entrega feita 12 dias antes da data prevista	1
Comprei o produto na quinta (19/04) e recebi no feriado (23/04) pela manhã. Além da entrega rápida, veio em perfeito estado.	1
O que pecou que não foi culpa da stark é que os correios alegou que não havia ninguém em casa em 3 tentativas ao qual minha mãe e outros sempre em casa acompanhávamos pelo app dos correios online	1
Cortina horrível, super fina e transparente, não fica bonita na sala, muito diferente da foto, material feio, me arrependi totalmente, tive q improvisar colocando outro tecido q eu tinha. péssimo!	0
Produto de boa qualidade e entregaram no prazo.	1
faltou as quatro pulseiras..	0
Não veio a embalagem certa	0
O cartão que recebi é falso.	0
Adorei o tamanho, produto de boa qualidade	1
Quem entregou foi outra distribuidora. Mas o pedido estava certo.	1
Os relógios eram para serem iguais, vieram de marca e tamanhos diferentes	2
Muito bom o produto. Didatico, meu filho adorou.	1
Entrega super rápida. Produto é bom.	1
Produto foi entregue em perfeitas condições,ótimo produto,inclusive já estou usando,bom preço,tudo de bom,nota 11.	1
A ficha técnica do produto não condiz com a mercadoria entregue.	0
entrega rápida e produto de boa qualidade, recomendo	1
Comprei 02 nichos e só recebi o nicho preto 40x30. Faltou o nicho travertino 60x30. O que aconteceu?	0
Ainda nao recebi meu produto	0
Perfeito entregue no prazo e bem embalado, Recomendo	1
Produto chegou conforme anúncio	1
O produto é nota 10.	1
Produto de primeira qualidade. Conforme anúncio. Chegou muito rápido. Recomendo 100%	1
Muito rapido e produto que eu esperava , reomendo	1
Apesar da empresa ter enviado o produto pelos Correios, pois todos sabem como que os Correios atrasam as entregas, o meu pedido chegou rápido em minha casa (em menos de 1 semana).	1
RECOMENDO EFUSIVAMENTE.	1
OTIMO PRODUTO	1
Super recomendo	1
Amei!! Chegou bem antes do prazo informado. São lindas e um cheirinho delicioso. Super recomendo!!!!!	1
Para o que preciso , este produto atende minhas necessidades, preço bom .	1
Falta ser entregue o suporte para os pés. Só chegou as vasilhas	0
Recomendo chegou rápido recomendo obg.	1
Fiz um teste e é totalmente impermeável, muito prática.	1
A entrega foi antes do prazo! Serviço excelente. O produto é o que realmente esperava!	1
recomendo	1
Muito bom pois o produto chegou antes do prazo.	1
PRODUTO ENTREGUE BEM ANTES DO PRAZO E SEM DEFEITOS.	1
Gostei muito do que eu escolhi essa loja .	1
Ótimo produto, bons preços e entrega rápida.	1
è a segunda ou terceira vez que compro. Estou satisfeito.	1
Entregaram no tempo bom	1
Apesar do produto não vir ao identico da compra realizada pq tenho o print da balança eu recomendo a loja mais agora com um pé atras	2
O controle veio com um defeito na carcaça mas é de ótima qualidade, recomendo.	1
Um verdadeiro absurdo hj já são 09 de agosto e nada da entrega do meu produto. Uma verdadeira falta de respeito. O stark deveria escolher melhor o seu meio de transpirte	0
Ótimo sempre cumprindo com os prazos é ótimo atendimentos	1
Atendimento ótimo.	1
Nas Lojas lannister já fiz varias compras sem problemas, mas essa está muito atrasada	2
Otimo	1
A capa é bem simples, mas pelo preço vale a pena. recebi bem antes do prazo.	1
Recebi o produto em ótimas condições de embalagem, dentro do prazo combinado e especificações exatas ao oferecido pela	1
o produto nao veio como solicitado.	0
ainda estou no aguardo da compra - vou verificar hoje , na portaria - por vezes esquecem de avisar portanto não posso criticar nada.	1
"A loja não cumpriu com o prazo de entrega informado, que seria ""até"" 08/08/2018."	0
Comprei um produto dia 06-09-2017 e até hoje não recebi, o número do pedido: 02-6502 47333	0
1ª vez,Quero devolver o proturo, por se tratar de um leitor Bluray E Gravador DVD Cd -UJ141 Case 3.0 para montagem de DVD branca - CASE 3.0BRANCA.CO.Ao conectar o produto no notebok nao funcina.	0
Produto que sinais de uso , manchado , marcado e quebrado	0
Voltaria a comprar nesta loja...	1
excelente	1
Produto foi entregue muito antes do prazo determinado.	1
Á Logística targaryen é ótima, á dificuldade em Itatiba é o serviço PÉSSIMO DOS CORREIOS.	1
Ótimo	1
Cumpriu o combinado produto excelente	1
muito bom obrigada	1
A foto não parece com o produto. É um tecido fino e com alguns erros nas costuras	2
Em função da voltagem não ser a da minha região solicitei o cancelamento da compra... Estou aguardando o estorno do valor pago no cartão.	1
Ótimo. Rápido demais, chega bem antes do prazo	1
OLA MUITO BOM,PRODUTO ENTREGUE CONFORME O RECOMENDADO E EXECELENCIA NO ATENDIMENTO NO PRAZO E PRODUTO CONSERVADO RECOMENDO LOJAS AMERCICANAS ATE	1
No rastreamento diz que foi entregue mas não recebi nada...	0
Compramos tres unidades e foram entregues apenas duas unidades. Aguardo solução do problema!	0
Estou muito satisfeita com o produto e com o atendimento	1
Muito bom	1
A MOCHILA É ÓTIMA, PORÉM EU PEDI BRANCA E VEIO UM TOM DE AZULADO	2
Muito bom	1
Recebi parte da minha encomenda apenas. É uma pena porque o produto é ótimo e veio no prazo. Não entendi porque não veio completo.	2
Recebi o produto com extrema rapidez. A caneca é muito bonita e atendeu às minhas expectativas.	1
O produto não veio correto pois é pirata e não estava descrito isso na descrição do produto. Estou entrando em contato para trocar pelo original que deveria ser enviado	1
Ele já veio com grau é muito forte.	0
Produto nao é o que mostra, diz que tem 50watz de potencia mas é mentira..	0
estou desapontada com o atraso da entrega	0
Sem comentários... excelente atendimento	1
Produto ótimo e chegou antes do prazo. Recomendo!	1
Feliz com a aquisição.	1
A entrega foi antes do prazo em compensação achei o cabo e conectores da antena de baixa qualidade	1
Pedido com entrega parcelada	0
Bom	1
produto recebido antes do prazo , muito bom parabens	1
O produto veio certinho, xícara bonita e a caixa também ! Acho apenas que a xícara poderia ser maior. Ideal para tomar cafe	1
Recebi o produto errado.	2
como se esperava	1
Meu bebê ainda não nasceu, mas o produto parece muito bom. Vem com um manual de como amarrar, deixando bem fácil entendimento.	1
foi muito bom comprar com vcs obrigada!!!	1
Achei que o produto demorou a chegar, mas chegou em boas condições.	1
Produto entregue corretamente, porém achei que demorou!	2
Obrigada pelo excelente atendimento e seriedade	1
Eu amei minha toalha muito boa	1
otimo produto e facil de montar,minha filha adorou!!!	1
Adquiri a cortina pois gostei dos detalhes e preço e preço, mas a cortina chegou com a cor muito diferente da imagem, e sem os detalhes. Apesar de ser bonita, não a instalei, e não sei se vou ficar.	2
O produto não é o quê eu imaginava Quero devolvê-lo pequeno demais não consigo enxergar nada	0
lannister estão de parabéns, Otimo!!	1
Tudo certo.	1
Farei outros pedidos	1
Site idôneo.	1
Fiquei satisfeito com o case. Entrega no prazo!	1
Meus parabéns, pela entrega super rápida, produto de excelente qualidade. Tudo certo!! Recomendo a todos e com certeza voltarei a comprar!!	1
Adorei o site recomendo comprei e chegou antes do prazo que foi dado	1
eu simplismeente ameiii	1
Ainda estou no aguardo do produto	2
me surpreendeu chegou antes do prazo	1
Eu recomendo sim são muito boa vcs estão de parabéns	1
Sempre que precisei da loja, fui atendido prontamente.	1
Sempre entrega dentro do prazo	1
O produto tinha nota fiscal de todos os itens, mas há partes faltando.	0
Realizei a compra de 3 unidades.Mas qual foi minha surpresa ao receber a caixa.Havia apenas uma unidade e a nota em anexo constavam as 3 .De imediato entrei em contato com os Correios .Me informaram q	0
Muito boa a rapidez na entrega, recomendo!	1
Ótimo produto	1
A película enviada nao proteje a tela inteira, nem em comprimento nem em largura. Apenas a tela funcional	2
Comprei o produto 20/07/2018 a entrega ate 01/08/2018 nem satisfação .	0
muito demorado	0
Super recomendo, entrega feita antes do prazo	1
Produto inferio ao da foto, ponteiras que vieram não são compativeis com o produto	0
Chegou antes do esperado	1
Veio os produtos corretos e dentro do prazo, chegou até antecipado, só não usei ainda	1
Ótimo produto	1
Tudo bem.	1
Estante muito linda, resistente. Atingiu minhas expectativas. Pretendo comprar mais futuramente.	1
So Recebi metade dos produtos a nota fiscal veio no valor inferior ao pago .. não recomendo ! Dei uma estrela pq eh obrigada a dar pelo menos uma	0
minha película de vidro chegou toda trincada! preciso de uma inteira,	0
Meu filho amou os brindes de qualidade e a mochila é linda do tamanho q queria .estou muito satisfeita.	1
Produto correto, entrega feito antes do prazo estou muito satisfeito	1
Sem comentários, não indico	0
Bonito e fácil de usar	1
A Mercadoria chegou no prazo, conforme o Pedido e em condições perfeitas.	1
entre antes do prazo :D	1
Ótimo	1
Tudo dentro do combinado.	1
Me deram um prazo gigantesco para enviar o produto e no ?último dia? me enviaram um e-mail dizendo que não tem o produto. Agora tenho a burocracia para receber meu dinheiro de volta.	0
Nem esperava receber tão rápido. Vcs estão de Parabéns. O produto é exatamente o que eu esperava. ..	1
Produto entregue. 1 dos produtos só funciona no 220w. O outro esta ok.	1
Ola Boa noite. Abri a encomenda Mt ansiosa pq amo este perfume... Mais qd abri vi que veio o perfume errado. Eu pedi errado, sem perceber. O q quero é o azul, nao o roxo. Posso trocar, por favor ! 🙏	1
Conforme combinado	1
Um ponto negativo que achei foi a cobrança de 3 taxas de entregas, sendo que comprei os 3 produtos iguais numa só compra.	2
A cor dos prendedores e a cor da Barra São lilás escuros, a que veio foi Rosa	0
Produto não corresponde ao da foto pois o que fora enviado é de cor diversa e de qualidade inferior. Em supermercados locais o produto é vendido a menos de 15 reais.	0
Apesar do produto ter vindo corretamente, faltou uma tiara de cabelo que deveria fazer parte do conjunto.	1
Não recebi a NF da minha compra. Exijo a entrega da NF.	1
Comprei pelo site da lannister onde é um site confiável e não recebi a minha mercadoria programada para dia 17/04/2018. Há já vista que quero saber se receberei a minha mercadoria.	0
Comprei e não levei, comprei em novembro com promessa de receber o produto em 12 dias, ja se passaram mais de 30 dias... e o pior	0
Fornecedor deve ter agido de ma fé, pois comprei duas unidades e só chegou uma.	0
O produto que comprei era preto com cor secundária azul!	2
satisfeitissima	1
MOTOR VENTILADOR NÃO É ORIGINAL. O ANUNCIO AFIRMA QUE É ORIGINAL.	0
Muito rápido na entrega!!!!	1
Recebi o pedido incompleto.	0
Muito bom	1
Correto	1
Apesar de fazer o pedido pelo telefone o prazo dado não foi cumprido.	0
O produto chegou no prazo estipulado e em perfeito estado.	1
Comprei e paguei por dois kits é só recebi 1	0
Quero a troca	0
Não desejo mais essa comprar necessário reembolso pois cancelei	0
O produto que veio não vale o que paguei, mau acabado e irregular.	2
Ótimo produto , tudo certinho.	1
excelente produto e empresa	1
ótimo e recomendo nota oito e meio.	0
produto falsificado, e uma mine escuta porem das duas que comprei nao funciona .....	0
Produto com acabamento ruim, case do equipamento desalinhado e com brechas nas laterais.	2
Muito rápido	1
Otima loja	1
Produto correto e bem embalado. Chegou antes do prazo previsto. Recomendo!	1
muito bom	1
O produto ainda não chegou	0
Era pra ter chego dia 14 e até agora nada	0
Bom dia. Comprei 2 produtos 01 ventilador de teto que ainda não recebi. e um filtro do squime que fui buscar no correio mesmo pagando frete.	0
As pulseiras vieram corretas, iguais a da foto, material bacana e resistente.	1
Esse produto está tudo correto, mas eu fiz uma compra de um perfume Gabriela Sabatini é já qualifiquei como tudo certo mas desconfio que seja falsificado. Não fixa na pele como o perfume original!	1
Muito boa compra	1
otimo vendedor	1
